id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
8;152;Food packages;Food packages;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
50;153;Percentage of cultural facilities whose maintenance level is at least 3. The maintenance level of those cultural facilities that are municipally owned and/or with which the municipality has a subsidy relationship is measured.;Percentage of cultural facilities whose maintenance level is at least 3. The maintenance level of those cultural facilities that are municipally owned and/or with which the municipality has a subsidy relationship is measured.;Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
364;154;Percentage of unemployed youth (16-24 year olds);Percentage of unemployed youth (16-24 year olds);Human Capital;Labour;Labour force;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
195;155;Number of square meters of incubator studios and studio housing realized;Number of square meters of incubator studios and studio housing realized;Economic Capital;Physical Capital;Infrastructure;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Economic
25;156;Perception of housing costs;Perception of housing costs;Quality of Life;Housing;Housing affordability;Here and now;;;;City;Equal Opportunities;2_BWMRA;Social
52;157;Gini coefficient;Gini coefficient;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
196;158;Percentage of square feet for CAWA creatives (BVO) in incubators;Percentage of square feet for CAWA creatives (BVO) in incubators;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
6;159;Food bank usage;Households using food bank;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;Tactical;Adverse Outcome;Households;Neighborhood;Equal Opportunities;4_Stadsdonut;Economic
15;160;Social assistance entitled;Social assistance entitled;Quality of Life;Consumption and Income;Distribution-Income;Here and now;Tactical;Adverse Outcome;Households;Neighborhood;Equal Opportunities;4_Stadsdonut;Economic
13;161;Construction new homes;Start of construction of new homes (total);Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
31;162;Wealth inequality;Wealth inequality;Economic Capital;Financial Capital;Net assets/liabilities;Here and now;;;;City;Equal Opportunities;2_BWMRA;Economic
14;163;Increase office stock;Net increase in office stock per year (m2 GFA);Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
23;164;Size of multi-year planned housing stock (4-year period);Size of multi-year planned housing stock (4-year period);Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
148;165;Numbers of home connections;Numbers of home connections;Quality of Life;Housing;Quality of housing;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
177;166;Collective Health Insurance;;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Households;;Equal Opportunities;1_StaatVDS;Economic
4;167;TOZO 4;Number of TOZO 4 allocations;Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal Opportunities;8_Duurzame;Economic
19;168;Segregation;Segregation;Human Capital;Education;Distribution-Education;Here and now;;;;;Equal Opportunities;9_SDGs;Economic
156;169;Literacy;Literacy rate;Quality of Life;Education;Educational attainment;Here and now, Later;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
184;170;Number of participants in non-school cultural education activities: 12-18 years old;Number of participants in non-school cultural education activities: 12-18 years old;Quality of Life;Education;Basic competencies;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
32;171;Number of transfer deeds notarized (*1,000);Number of transfer deeds notarized (*1,000);Quality of Life;Institutional;Law;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
8;172;Participation in lifelong learning;Participation in lifelong learning;Human Capital;Education;Lifelong learning;Here and now, Later;;;;City;Equal Opportunities;2_BWMRA;Economic
185;173;Percentage of schools (primary and special education) offering two or more continuous curricula in cultural education;Percentage of schools (primary and special education) offering two or more continuous curricula in cultural education;Quality of Life;Education;Basic competencies;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
183;174;Number of participants in non-school cultural education activities: 4-12 years;Number of participants in non-school cultural education activities: 4-12 years;Quality of Life;Education;Basic competencies;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
29;175;Land value of newly issued leasehold rights (* €1 mln);Land value of newly issued leasehold rights (* €1 mln);Quality of Life;Institutional;Law;Here and now, Later;;;;City;Equal Opportunities;10_DBoom;Social
33;176;Debt per household;Average debt per household;Economic Capital;Financial Capital;Net assets/liabilities;Here and now, Later;;Adverse Outcome;Monetary;;Equal Opportunities;6_RMBW;Economic
149;177;Interships;Number of interships;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
155;178;HBO-WO students;HBO-WO students;Quality of Life;Education;Educational attainment;Here and now;;System Condition;Building Units;City;Equal Opportunities;1_StaatVDS;Social
150;179;Employed teachers;Employed teachers;Quality of Life;Labour;Employment rate;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Economic
72;180;Employed permanent contract;% of employees in sector with permanent contract;Quality of Life;Consumption and Income;Income;Here and now;;;;City;Equal Opportunities;8_Duurzame;Economic
55;181;Living situation index;Living situation index;Quality of Life;Subjective Well-Being;Life satisfaction;Here and now;;;;;Equal Opportunities;9_SDGs;Social
179;182;Compensation for additional public transport;;Quality of Life;Transport;Transport;Here and now;;System Condition;Households;;Equal Opportunities;1_StaatVDS;Social
304;183;Waiting list and waiting time Help with Household as of Dec. 31: -Number of clients on the waiting list -Waiting time of longest waiting person;Waiting list and waiting time Help with Household as of Dec. 31: -Number of clients on the waiting list -Waiting time of longest waiting person;Quality of Life;Health;Health care facilities;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
182;184;Number of activities, programs, productions of cultural institutions in the 20172020 Arts Plan abroad;Number of activities, programs, productions of cultural institutions in the 20172020 Arts Plan abroad;Quality of Life;Work Life Balance;Cultural;Here and now;;;;City;Equal Opportunities;10_DBoom;Social
192;185;Total square footage of incubator (broedplaats);Total square footage of incubator (broedplaats);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Equal Opportunities;10_DBoom;Economic
201;186;Digital barriers-freedom;Barriers to have digital freedom when using digital resources;Quality of Life;Institutional;Trust in institutions;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Social
147;187;Diploma MBO;Diploma MBO;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
176;188;Stadpas;;Quality of Life;Transport;Transport;Here and now;;System Condition;Households;;Equal Opportunities;1_StaatVDS;Social
1;189;Starting Qualification;Starting Qualification;Human Capital;Education;Educational attainment;Here and now, Later;;;;City;Equal Opportunities;2_BWMRA;Economic
134;190;Diploma PS Advice;Diplomas PS Advice;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
88;191;Internsips;Number of internships;Quality of Life;Labour;Distribution-Labour;Here and now;;;;City;Equal Opportunities;8_Duurzame;Economic
11;192;Main occupation;Main occupation;Quality of Life;Labour;Distribution-Labour;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
146;193;MBO Students;MBO Students;Quality of Life;Education;Educational attainment;Here and now;;System Condition;People;City;Equal Opportunities;1_StaatVDS;Social
69;194;Unemployment;Unemployment;Quality of Life;Labour;Employment rate;Here and now;;Adverse Outcome;Population;;Equal Opportunities;6_RMBW;Economic
1;195;Unemployed;Share of unemployed;Quality of Life;Labour;Unemployment;Here and now;;;;City;Equal Opportunities;8_Duurzame;Economic
2;196;Migration cause;Migration cause (background) ;Quality of Life;Labour;Demographic changes;Here and now;;System Condition;People;Neighborhood;Equal Opportunities;1_StaatVDS;Economic
70;197;Poverty risk self-employed;Poverty risk self-employed persons;Quality of Life;Labour;Employment rate;Here and now;;Adverse Outcome;Population;;Equal Opportunities;6_RMBW;Economic
